iter	Logloss
0	0.6327330328
1	0.5832864562
2	0.5424825563
3	0.5082096505
4	0.479426123
5	0.4547226032
6	0.4336387679
7	0.4154607389
8	0.3996748573
9	0.3854370424
10	0.3700813193
11	0.3570712674
12	0.3482179482
13	0.3375631922
14	0.3306580158
15	0.3222815707
16	0.3169466147
17	0.3123019489
18	0.3080033638
19	0.3031911624
20	0.2980000236
21	0.2952035524
22	0.2926713511
23	0.2892021303
24	0.2869534366
25	0.2836637062
26	0.2812216755
27	0.2786433706
28	0.2752436705
29	0.2734512008
30	0.2719781453
31	0.2699747573
32	0.2683377647
33	0.2662326014
34	0.2647326917
35	0.2638682017
36	0.2608982157
37	0.2601057911
38	0.2588152479
39	0.2577527265
40	0.2544565206
41	0.2533245318
42	0.2525563288
43	0.2517235558
44	0.2488410363
45	0.2472994605
46	0.2468700881
47	0.2460252044
48	0.2439037125
49	0.2432860189
50	0.2425353662
51	0.2420264627
52	0.2405647859
53	0.239317849
54	0.2387410605
55	0.2384998692
56	0.23678257
57	0.2355856016
58	0.2349655046
59	0.2335169871
60	0.2328763175
61	0.2324511243
62	0.2307903147
63	0.2299351431
64	0.2288027647
65	0.2276774949
66	0.2262720535
67	0.2257357355
68	0.2253334218
69	0.2251334313
70	0.2240579768
71	0.2239432929
72	0.2229803812
73	0.2228162493
74	0.2225863552
75	0.2217318276
76	0.2209535205
77	0.2200585008
78	0.2197953328
79	0.2194021219
80	0.2190287379
81	0.2185705949
82	0.2179221883
83	0.2178193996
84	0.2172000951
85	0.2171035524
86	0.2169366171
87	0.2165935808
88	0.2160368872
89	0.2157666978
90	0.2155572823
91	0.2150401122
92	0.2144052738
93	0.2141821771
94	0.2133722334
95	0.2130018291
96	0.2128949023
97	0.2123629896
98	0.2119700966
99	0.2115353286
