iter	Passed	Remaining
0	3	331
1	5	265
2	7	237
3	8	211
4	10	201
5	12	198
6	14	188
7	15	181
8	17	175
9	19	171
10	20	167
11	22	164
12	24	161
13	26	160
14	27	157
15	29	155
16	31	152
17	33	150
18	34	148
19	36	146
20	38	144
21	40	142
22	42	141
23	44	139
24	45	137
25	47	136
26	49	134
27	51	132
28	53	131
29	55	129
30	57	128
31	59	126
32	61	124
33	63	123
34	65	121
35	67	119
36	69	118
37	71	116
38	73	114
39	75	113
40	77	111
41	80	110
42	82	108
43	84	107
44	86	105
45	88	103
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	93
52	103	91
53	105	89
54	107	87
55	109	86
56	111	84
57	114	82
58	116	80
59	118	79
60	121	77
61	123	75
62	125	73
63	127	71
64	129	69
65	132	68
66	134	66
67	136	64
68	138	62
69	140	60
70	143	58
71	145	56
72	148	54
73	150	52
74	152	50
75	154	48
76	157	46
77	159	45
78	161	43
79	163	40
80	166	38
81	168	36
82	170	35
83	173	32
84	175	30
85	177	28
86	179	26
87	181	24
88	184	22
89	186	20
90	188	18
91	191	16
92	193	14
93	195	12
94	198	10
95	200	8
96	203	6
97	205	4
98	207	2
99	209	0
